week_starting,provisioned_users,logged_in_once,logged_in_week,performed_search,found_content,accessed_document,saved_content,wau_rate,search_success_rate,content_access_rate
2024-09-02,5000,3890,2280,1500,1071,700,300,45.7%,71.4%,65.3%
2024-09-09,5000,3910,2270,1464,1049,679,286,45.4%,71.7%,64.6%
2024-09-16,5000,3930,2250,1429,1014,657,271,45.0%,71.0%,64.8%
2024-09-23,5000,3940,2230,1414,986,636,257,44.6%,69.7%,64.5%
2024-09-30,5000,3950,2200,1393,964,614,250,44.0%,69.2%,63.7%
2024-10-07,5000,3970,2180,1371,943,600,236,43.6%,68.8%,63.6%
2024-10-14,5000,3980,2160,1343,914,579,229,43.1%,68.1%,63.3%
2024-10-21,5000,4000,2140,1321,893,564,214,42.9%,67.6%,63.2%
2024-10-28,5000,4010,2130,1300,871,550,207,42.6%,67.0%,63.1%
2024-11-04,5000,4030,2110,1286,857,536,200,42.3%,66.7%,62.5%
2024-11-11,5000,4040,2110,1271,843,521,193,42.1%,66.3%,61.9%
2024-11-18,5000,4060,2100,1257,829,514,186,42.0%,65.9%,62.1%
2024-11-25,5000,4070,2090,1229,800,493,171,41.7%,65.1%,61.6%
2024-12-02,5000,4090,2070,1214,786,486,164,41.4%,64.7%,61.8%
2024-12-09,5000,4100,2090,1229,800,500,171,41.7%,65.1%,62.5%
2024-12-16,5000,4110,2110,1250,821,514,179,42.1%,65.7%,62.6%
2024-12-23,5000,4130,2040,1143,714,429,143,40.7%,62.5%,60.0%
2024-12-30,5000,4140,1960,1071,643,371,129,39.3%,60.0%,57.8%
2025-01-06,5000,4160,2110,1286,843,529,186,42.1%,65.6%,62.7%
2025-01-13,5000,4170,2140,1321,871,557,200,42.9%,65.9%,63.9%
2025-01-20,5000,4180,2160,1343,893,571,207,43.1%,66.5%,64.0%
2025-01-27,5000,4200,2180,1371,914,586,214,43.6%,66.7%,64.1%
2025-02-03,5000,4210,2150,1357,900,571,207,43.0%,66.3%,63.5%
2025-02-10,5000,4230,2160,1371,907,579,207,43.3%,66.1%,63.8%
