week_starting,total_searches,expert_searches,profiles_viewed,connections_requested,connections_made,avg_time_to_expert_hours,search_satisfaction_score,expert_match_accuracy
2024-09-02,6071,857,679,61,30,62.5,3.1,65%
2024-09-09,6014,843,657,59,29,64.2,3.0,64%
2024-09-16,5964,821,636,56,27,66.8,3.0,63%
2024-09-23,5914,800,614,54,26,68.5,2.9,62%
2024-09-30,5857,771,586,51,24,71.2,2.9,61%
2024-10-07,5800,750,564,49,23,73.5,2.8,60%
2024-10-14,5750,729,543,47,21,75.8,2.8,59%
2024-10-21,5700,714,529,46,20,77.2,2.7,58%
2024-10-28,5643,700,514,44,19,78.5,2.7,57%
2024-11-04,5586,686,500,43,19,79.8,2.6,56%
2024-11-11,5536,671,486,41,18,80.5,2.6,55%
2024-11-18,5500,657,471,40,17,81.2,2.5,54%
2024-11-25,5371,607,414,34,14,85.5,2.4,52%
2024-12-02,5321,586,393,32,13,88.2,2.4,51%
2024-12-09,5393,607,414,34,14,86.5,2.5,52%
2024-12-16,5486,643,443,37,16,83.8,2.5,54%
2024-12-23,4929,500,321,25,10,95.2,2.3,48%
2024-12-30,4643,414,250,20,8,102.5,2.2,45%
2025-01-06,5571,679,500,42,18,78.5,2.7,56%
2025-01-13,5679,714,529,46,20,75.2,2.8,58%
2025-01-20,5750,743,557,49,21,72.5,2.9,59%
2025-01-27,5821,771,586,51,23,70.2,3.0,61%
2025-02-03,5786,757,571,50,22,71.5,2.9,60%
2025-02-10,5843,786,600,53,24,68.8,3.0,62%
